What trail did Lincoln use a Farmers' Almanac in? 	NULL	S08/data/set3/a4	NULL
Volta became professor of physics in the Como high school in what year?	NULL	S08/data/set4/a10	NULL
What ac phaenomenis inde pendentibus?	NULL	S08/data/set4/a10	NULL
What may be called Volta's Law of the electrochemical series?	NULL	S08/data/set4/a10	NULL
What did Alessandro Volta publish in 1800?	NULL	S08/data/set4/a10	NULL
	NULL	S08/data/set4/a10	NULL
	NULL	S08/data/set4/a10	NULL
	NULL	S08/data/set4/a10	NULL
NOTTTT  FOUND	NULL	S08/data/set4/a10	NULL
	NULL	S08/data/set4/a10	NULL
	NULL	S08/data/set4/a10	NULL
Are Count Volta 's original instruments and papers on display there ?	NULL	S08/data/set4/a10	NULL
Are Count Volta 's original instruments and papers on display there ?	NULL	S08/data/set4/a10	NULL
What happened with $ its invention?	NULL	S08/data/set4/a10	NULL
HWhat happened at the electromotive force -LRB- emf -RRB- of a galvanic cell?	NULL	S08/data/set4/a10	NULL
What happened in 1800?	NULL	S08/data/set4/a10	NULL
What was an Italian savant?	NULL	S08/data/set4/a8	NULL
What was an Italian savant?	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
	NULL	S08/data/set4/a8	NULL
He is what?	NULL	S08/data/set4/a8	NULL
He is what?	NULL	S08/data/set4/a8	NULL
The unification of Italy did what?	NULL	S08/data/set4/a8	NULL
What happened in french?	NULL	S08/data/set4/a8	NULL
What happened in 1833?	NULL	S08/data/set4/a8	NULL
What thrust him into the national spotlight?	NULL	S08/data/set3/a9	NULL
What to be born on the fourth of July?	NULL	S08/data/set3/a9	NULL
What do well - received and he have in common?	NULL	S08/data/set3/a9	NULL
What did Coolidge address in 1924?	NULL	S08/data/set3/a9	NULL
What emigrated from Cambridge?	NULL	S08/data/set3/a9	NULL
What graduated from Black?	NULL	S08/data/set3/a9	NULL
What Retrieved on May?	NULL	S08/data/set3/a9	NULL
He later what?	NULL	S08/data/set3/a9	NULL
They were what?	NULL	S08/data/set3/a9	NULL
The Republicans retained what?	NULL	S08/data/set3/a9	NULL
(NNP Harding #)(NNP Death )))(PP (IN in )(NP (NP (NN office ))(PP (IN for )(NP (DT a )(JJ full )(NN description )(NNP Vice )(NNP President )(person (NNP Coolidge ))))))))(VP (VP (VBD was )(VP (VBG visiting )(NP (PRP$ his )(NN family )(NN home ))))(, , )(SBAR (WHNP (WDT which ))(S (VP (VBD did )(RB not )(VP (VB have )(NP (NP (NN electricity ))(CC or )(NP (DT a )(NN telephone )))(, , )(PP (IN in )(NP (location (NNP Vermont ))))(SBAR (WHADVP (WRB when ))(S (NP (PRP he ))(VP (VBD received )(NP (NP (NN word ))(PP (IN of )(NP (NP (NNP Harding )(POS 's ))(NN death ))))))))))))))(. . )))	NULL	S08/data/set3/a9	NULL
	NULL	S08/data/set3/a9	NULL
	NULL	S08/data/set3/a9	NULL
Were the more well-known Coolidges , such as architect Charles Allerton Coolidge , and diplomat Archibald Cary Coolidge , descended from other branches of the family that had stayed in Massachusetts ?	NULL	S08/data/set3/a9	NULL
What happened from tuberculosis?	NULL	S08/data/set3/a9	NULL
What happened from black river academy , vermont?	NULL	S08/data/set3/a9	NULL
What is one significant non-official language?	NULL	S08/data/set2/a8	NULL
In addition to Port Royal, where else did Samuel de Champlain establish a settlement?	NULL	S08/data/set2/a8	NULL
What was the Consitution Act formerly called?	NULL	S08/data/set2/a8	NULL
Which countries established colonies in Canada?	NULL	S08/data/set2/a8	NULL
What percentage of the population don't speak English or French at home?	NULL	S08/data/set2/a8	NULL
Where is the most densely populated part of Canada?	The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.	S08/data/set2/a8	The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Where is the most densely populated part of Canada?	The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.	S08/data/set2/a8	The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Where was the largest elephant ever recorded shot?	The largest elephant ever recorded was shot in Angola in 1956.	S08/data/set1/a5	The largest elephant ever recorded was shot in Angola in 1956.
What is Helsinki?	NULL	S08/data/set2/a4	NULL
What is concentrated in the southern part of the country?	NULL	S08/data/set2/a4	NULL
What is spoken natively by a 5.5 percent minority?	NULL	S08/data/set2/a4	NULL
